frame,time,drone_x,drone_y,waypoint_x,waypoint_y,waypoint_radius,interacting,rtm_up,rtm_down,rtm_right,rtm_left,key_up,key_down,key_right,key_left,id,visuals,haptics
0,4.946393013000488,450.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,73.95885068972711,0,False,False,False,False,1,True,True
1,5.049511909484863,450.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,73.95885068972711,0,False,False,False,False,1,True,True
2,5.15246844291687,450.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,73.95885068972711,0,False,False,False,False,1,True,True
3,5.255534648895264,450.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,73.95885068972711,0,False,False,False,False,1,True,True
4,5.35855507850647,450.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,73.95885068972711,0,False,False,False,False,1,True,True
5,5.461504697799683,450.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,73.95885068972711,0,False,False,False,False,1,True,True
6,5.56420373916626,450.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,73.95885068972711,0,False,False,False,False,1,True,True
7,5.667253494262695,450.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,73.95885068972711,0,False,False,False,False,1,True,True
8,5.770293474197388,450.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,73.95885068972711,0,False,False,False,False,1,True,True
9,5.873193025588989,450.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,73.95885068972711,0,False,False,False,False,1,True,True
10,5.976138353347778,450.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,73.95885068972711,0,False,False,False,False,1,True,True
11,6.079152584075928,454.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,73.22551735639378,0,False,False,True,False,1,True,True
12,6.1820056438446045,458.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,72.49218402306045,0,False,False,True,False,1,True,True
13,6.285243272781372,462.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,71.75885068972711,0,False,False,True,False,1,True,True
14,6.388484001159668,466.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,71.02551735639378,0,False,False,True,False,1,True,True
15,6.491474628448486,470.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,70.29218402306044,0,False,False,True,False,1,True,True
16,6.594375848770142,474.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,69.55885068972711,0,False,False,True,False,1,True,True
17,6.697423219680786,478.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,68.82551735639377,0,False,False,True,False,1,True,True
18,6.800957918167114,482.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,68.09218402306044,0,False,False,True,False,1,True,True
19,6.904145240783691,486.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,67.35885068972712,0,False,False,True,False,1,True,True
20,7.007227659225464,490.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,66.62551735639377,0,False,False,True,False,1,True,True
21,7.110458850860596,494.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,65.89218402306044,0,False,False,True,False,1,True,True
22,7.214317798614502,498.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,65.1588506897271,0,False,False,True,False,1,True,True
23,7.317601919174194,502.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,64.42551735639378,0,False,False,True,False,1,True,True
24,7.420911550521851,506.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,63.69218402306044,0,False,False,True,False,1,True,True
25,7.5237507820129395,510.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,62.95885068972711,0,False,False,True,False,1,True,True
26,7.625692844390869,514.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,62.22551735639377,0,False,False,True,False,1,True,True
27,7.728884220123291,518.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,61.492184023060446,0,False,False,True,False,1,True,True
28,7.832000255584717,522.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,60.75885068972711,0,False,False,True,False,1,True,True
29,7.934875011444092,526.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,60.02551735639378,0,False,False,True,False,1,True,True
30,8.038007497787476,530.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,59.29218402306044,0,False,False,True,False,1,True,True
31,8.14124083518982,534.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,58.55885068972711,0,False,False,True,False,1,True,True
32,8.24429440498352,538.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,57.825517356393775,0,False,False,True,False,1,True,True
33,8.347805976867676,542.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,57.09218402306044,0,False,False,True,False,1,True,True
34,8.45106291770935,546.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,56.358850689727106,0,False,False,True,False,1,True,True
35,8.554192781448364,550.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,55.62551735639377,0,False,False,True,False,1,True,True
36,8.657388687133789,554.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,54.892184023060445,0,False,False,True,False,1,True,True
37,8.760439395904541,558.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,54.1588506897271,0,False,False,True,False,1,True,True
38,8.863484144210815,562.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,53.425517356393776,0,False,False,True,False,1,True,True
39,8.966462135314941,566.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,52.69218402306044,0,False,False,True,False,1,True,True
40,9.0702486038208,570.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,51.95885068972711,0,False,False,True,False,1,True,True
41,9.173441410064697,574.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,51.22551735639377,0,False,False,True,False,1,True,True
42,9.276525735855103,578.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,50.492184023060446,0,False,False,True,False,1,True,True
43,9.379851579666138,582.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,49.75885068972711,0,False,False,True,False,1,True,True
44,9.483139753341675,586.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,49.02551735639378,0,False,False,True,False,1,True,True
45,9.586539506912231,590.0,300.0,689.7755492166933,204.71556997230283,50,False,47.46881217174448,0,48.29218402306044,0,False,False,True,False,1,True,True
46,9.689785957336426,590.0,296.0,689.7755492166933,204.71556997230283,50,False,46.73547883841115,0,48.29218402306044,0,True,False,False,False,1,True,True
47,9.792720794677734,590.0,292.0,689.7755492166933,204.71556997230283,50,False,46.00214550507782,0,48.29218402306044,0,True,False,False,False,1,True,True
48,9.89560580253601,590.0,288.0,689.7755492166933,204.71556997230283,50,False,45.26881217174448,0,48.29218402306044,0,True,False,False,False,1,True,True
49,9.998522520065308,590.0,284.0,689.7755492166933,204.71556997230283,50,False,44.53547883841115,0,48.29218402306044,0,True,False,False,False,1,True,True
50,10.10150694847107,590.0,280.0,689.7755492166933,204.71556997230283,50,False,43.80214550507782,0,48.29218402306044,0,True,False,False,False,1,True,True
51,10.20449161529541,594.0,280.0,689.7755492166933,204.71556997230283,50,False,43.80214550507782,0,47.55885068972711,0,False,False,True,False,1,True,True
52,10.30787444114685,598.0,280.0,689.7755492166933,204.71556997230283,50,False,43.80214550507782,0,46.825517356393775,0,False,False,True,False,1,True,True
53,10.411070108413696,602.0,280.0,689.7755492166933,204.71556997230283,50,False,43.80214550507782,0,46.09218402306044,0,False,False,True,False,1,True,True
54,10.514177799224854,606.0,280.0,689.7755492166933,204.71556997230283,50,False,43.80214550507782,0,45.358850689727106,0,False,False,True,False,1,True,True
55,10.617176532745361,610.0,280.0,689.7755492166933,204.71556997230283,50,False,43.80214550507782,0,44.62551735639377,0,False,False,True,False,1,True,True
56,10.720349550247192,614.0,280.0,689.7755492166933,204.71556997230283,50,False,43.80214550507782,0,43.892184023060445,0,False,False,True,False,1,True,True
57,10.823760032653809,618.0,280.0,689.7755492166933,204.71556997230283,50,False,43.80214550507782,0,43.15885068972711,0,False,False,True,False,1,True,True
58,10.926778554916382,622.0,280.0,689.7755492166933,204.71556997230283,50,False,43.80214550507782,0,42.425517356393776,0,False,False,True,False,1,True,True
59,11.02987265586853,626.0,280.0,689.7755492166933,204.71556997230283,50,False,43.80214550507782,0,41.69218402306044,0,False,False,True,False,1,True,True
60,11.133008003234863,630.0,280.0,689.7755492166933,204.71556997230283,50,False,43.80214550507782,0,40.95885068972711,0,False,False,True,False,1,True,True
61,11.236215353012085,634.0,280.0,689.7755492166933,204.71556997230283,50,False,43.80214550507782,0,40.22551735639377,0,False,False,True,False,1,True,True
62,11.33937668800354,638.0,280.0,689.7755492166933,204.71556997230283,50,False,43.80214550507782,0,39.492184023060446,0,False,False,True,False,1,True,True
63,11.442630290985107,642.0,276.0,689.7755492166933,204.71556997230283,50,False,43.06881217174448,0,38.75885068972711,0,True,False,True,False,1,True,True
64,11.545801401138306,642.0,272.0,689.7755492166933,204.71556997230283,50,False,42.33547883841115,0,38.75885068972711,0,True,False,False,False,1,True,True
65,11.648879051208496,642.0,268.0,689.7755492166933,204.71556997230283,50,False,41.602145505077814,0,38.75885068972711,0,True,False,False,False,1,True,True
66,11.751800298690796,642.0,264.0,689.7755492166933,204.71556997230283,50,False,40.86881217174448,0,38.75885068972711,0,True,False,False,False,1,True,True
67,11.854886531829834,642.0,260.0,689.7755492166933,204.71556997230283,50,False,40.135478838411146,0,38.75885068972711,0,True,False,False,False,1,True,True
68,11.957936763763428,642.0,256.0,689.7755492166933,204.71556997230283,50,False,39.40214550507781,0,38.75885068972711,0,True,False,False,False,1,True,True
69,12.061101198196411,642.0,252.0,689.7755492166933,204.71556997230283,50,False,38.66881217174448,0,38.75885068972711,0,True,False,False,False,1,True,True
70,12.164149522781372,642.0,248.0,689.7755492166933,204.71556997230283,50,False,37.93547883841115,0,38.75885068972711,0,True,False,False,False,1,True,True
71,12.267168045043945,642.0,244.0,689.7755492166933,204.71556997230283,50,False,37.202145505077816,0,38.75885068972711,0,True,False,False,False,1,True,True
72,12.370365142822266,646.0,244.0,689.7755492166933,204.71556997230283,50,False,37.202145505077816,0,38.02551735639378,0,False,False,True,False,1,True,True
73,12.473591804504395,650.0,244.0,689.7755492166933,204.71556997230283,50,False,37.202145505077816,0,37.29218402306044,0,False,False,True,False,1,True,True
74,12.576489925384521,654.0,244.0,689.7755492166933,204.71556997230283,50,False,37.202145505077816,0,36.55885068972711,0,False,False,True,False,1,True,True
75,12.679495334625244,658.0,244.0,689.7755492166933,204.71556997230283,50,False,37.202145505077816,0,35.825517356393775,0,False,False,True,False,1,True,True
76,12.782417297363281,662.0,244.0,689.7755492166933,204.71556997230283,50,True,37.202145505077816,0,35.09218402306044,0,False,False,True,False,1,True,True
77,12.885593175888062,666.0,244.0,689.7755492166933,204.71556997230283,50,True,37.202145505077816,0,34.358850689727106,0,False,False,True,False,1,True,True
78,12.98885464668274,670.0,244.0,689.7755492166933,204.71556997230283,50,True,37.202145505077816,0,33.62551735639377,0,False,False,True,False,1,True,True
79,13.092008590698242,674.0,244.0,689.7755492166933,204.71556997230283,50,True,37.202145505077816,0,32.892184023060445,0,False,False,True,False,1,True,True
80,13.195360898971558,678.0,240.0,689.7755492166933,204.71556997230283,50,True,36.46881217174448,0,32.15885068972711,0,True,False,True,False,1,True,True
81,13.298434972763062,678.0,236.0,689.7755492166933,204.71556997230283,50,True,35.73547883841115,0,32.15885068972711,0,True,False,False,False,1,True,True
82,13.40142011642456,678.0,232.0,689.7755492166933,204.71556997230283,50,True,35.00214550507781,0,32.15885068972711,0,True,False,False,False,1,True,True
83,13.50420331954956,678.0,228.0,689.7755492166933,204.71556997230283,50,True,34.26881217174448,0,32.15885068972711,0,True,False,False,False,1,True,True
84,13.606966972351074,678.0,224.0,689.7755492166933,204.71556997230283,50,True,33.535478838411144,0,32.15885068972711,0,True,False,False,False,1,True,True
85,13.71034860610962,678.0,220.0,689.7755492166933,204.71556997230283,50,True,32.80214550507782,0,32.15885068972711,0,True,False,False,False,1,True,True
86,13.813871145248413,678.0,216.0,689.7755492166933,204.71556997230283,50,True,32.06881217174448,0,32.15885068972711,0,True,False,False,False,1,True,True
87,13.917199611663818,678.0,212.0,689.7755492166933,204.71556997230283,50,True,31.33547883841115,0,32.15885068972711,0,True,False,False,False,1,True,True
88,14.020448923110962,678.0,212.0,689.7755492166933,204.71556997230283,50,True,31.33547883841115,0,32.15885068972711,0,False,False,False,False,1,True,True
89,14.123445749282837,682.0,212.0,689.7755492166933,204.71556997230283,50,True,31.33547883841115,0,31.425517356393776,0,False,False,True,False,1,True,True
90,14.226518392562866,686.0,212.0,689.7755492166933,204.71556997230283,50,True,31.33547883841115,0,30.69218402306044,0,False,False,True,False,1,True,True
91,14.329496383666992,690.0,212.0,689.7755492166933,204.71556997230283,50,True,31.33547883841115,0,0,30.041149310272893,False,False,True,False,1,True,True
